-> blas - run_id = 0 ; N = 200 ; Time = 0.008661
-> blas - run_id = 0 ; N = 400 ; Time = 0.04986
-> blas - run_id = 0 ; N = 800 ; Time = 0.228157
-> blas - run_id = 0 ; N = 1200 ; Time = 0.743791
-> blas - run_id = 0 ; N = 1600 ; Time = 1.542628

-> blas - run_id = 1 ; N = 200 ; Time = 0.008846
-> blas - run_id = 1 ; N = 400 ; Time = 0.05096
-> blas - run_id = 1 ; N = 800 ; Time = 0.228836
-> blas - run_id = 1 ; N = 1200 ; Time = 0.696376
-> blas - run_id = 1 ; N = 1600 ; Time = 1.565711

-> blas - run_id = 2 ; N = 200 ; Time = 0.008664
-> blas - run_id = 2 ; N = 400 ; Time = 0.05052
-> blas - run_id = 2 ; N = 800 ; Time = 0.231513
-> blas - run_id = 2 ; N = 1200 ; Time = 0.691414
-> blas - run_id = 2 ; N = 1600 ; Time = 1.607115

-> blas - run_id = 3 ; N = 200 ; Time = 0.008005
-> blas - run_id = 3 ; N = 400 ; Time = 0.049877
-> blas - run_id = 3 ; N = 800 ; Time = 0.224223
-> blas - run_id = 3 ; N = 1200 ; Time = 0.689812
-> blas - run_id = 3 ; N = 1600 ; Time = 1.557211

-> blas - run_id = 4 ; N = 200 ; Time = 0.008003
-> blas - run_id = 4 ; N = 400 ; Time = 0.048926
-> blas - run_id = 4 ; N = 800 ; Time = 0.22025
-> blas - run_id = 4 ; N = 1200 ; Time = 0.696401
-> blas - run_id = 4 ; N = 1600 ; Time = 1.552357

-> neopt - run_id = 0 ; N = 200 ; Time = 0.195245
-> neopt - run_id = 0 ; N = 400 ; Time = 1.299431
-> neopt - run_id = 0 ; N = 800 ; Time = 11.372448
-> neopt - run_id = 0 ; N = 1200 ; Time = 35.317425
-> neopt - run_id = 0 ; N = 1600 ; Time = 113.975914

-> neopt - run_id = 1 ; N = 200 ; Time = 0.195316
-> neopt - run_id = 1 ; N = 400 ; Time = 1.26295
-> neopt - run_id = 1 ; N = 800 ; Time = 11.418139
-> neopt - run_id = 1 ; N = 1200 ; Time = 35.158176
-> neopt - run_id = 1 ; N = 1600 ; Time = 113.668304

-> neopt - run_id = 2 ; N = 200 ; Time = 0.195018
-> neopt - run_id = 2 ; N = 400 ; Time = 1.256094
-> neopt - run_id = 2 ; N = 800 ; Time = 10.452722
-> neopt - run_id = 2 ; N = 1200 ; Time = 35.273064
-> neopt - run_id = 2 ; N = 1600 ; Time = 110.746613

-> neopt - run_id = 3 ; N = 200 ; Time = 0.19588
-> neopt - run_id = 3 ; N = 400 ; Time = 1.260571
-> neopt - run_id = 3 ; N = 800 ; Time = 10.901316
